question,optionA,optionB,optionC,optionD,answer_index
"What is 5 + 3?","6","7","8","9",2
"What is 10 - 4?","5","6","7","8",1
"What is 3 × 3?","6","7","9","12",2
"What is 16 ÷ 4?","2","3","4","5",2
"What is 7 + 2?","8","9","10","11",1
"What is 12 - 5?","6","7","8","9",1
"What is 4 × 2?","6","7","8","10",2
"What is 18 ÷ 3?","4","5","6","7",2
"What is 9 + 6?","14","15","16","17",1
"What is 20 - 10?","5","10","15","20",1
"What is 15 + 7?","22","21","23","24",0
"Solve for x: 2x = 10","3","4","5","6",2
"What is the square root of 81?","6","7","8","9",3
"What is 12 × 5?","50","55","60","65",2
"If a triangle has angles 60° and 60°, what type is it?","Right","Equilateral","Isosceles","Scalene",1
"What is 45 ÷ 5?","7","8","9","10",2
"What is the perimeter of a square with side 4 cm?","12 cm","16 cm","18 cm","20 cm",1
"If 5x = 25, what is x?","3","4","5","6",2
"What is 20% of 200?","30","40","50","60",1
"Solve: 3² + 4² = ?","25","26","27","28",0
"If a rectangle has length 8 cm and width 3 cm, what is its area?","20 cm²","22 cm²","24 cm²","26 cm²",2
"A number is multiplied by 2 and gives 16. What is the number?","6","7","8","9",2
"What is the value of 3 × (4 + 2)?","15","16","18","20",2
"What is the sum of angles in a quadrilateral?","270°","360°","450°","540°",1
"If a box contains 12 red balls and 8 blue balls, what is the probability of picking a red ball?","1/2","3/5","2/3","5/8",1



